names	ratings	season	year
Gundam Build Fighters	4	fall	2013
Valvrave the Liberator 2	3.9	fall	2013
Outbreak Company	3.9	fall	2013
Yozakura Quartet: Hana no Uta	3.9	fall	2013
Aoki Hagane no Arpeggio: Ars Nova	3.8	fall	2013
Strike the Blood	3.8	fall	2013
My Mental Choices are Completely Interfering with my School Romantic Comedy	3.8	fall	2013
Unbreakable Machine-Doll	3.8	fall	2013
Pokemon XY	3.8	fall	2013
Aikatsu! 2	3.7	fall	2013
Phi Brain: Puzzle of God 3	3.7	fall	2013
Gingitsune: Messenger Fox of the Gods	3.7	fall	2013
Freezing Vibration	3.5	fall	2013
I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.	3.5	fall	2013
Infinite Stratos 2	3.4	fall	2013
Samurai Flamenco	3.2	fall	2013
Teekyuu 3	3.1	fall	2013
Super Seisyun Brothers	3.1	fall	2013
Coppelion	3	fall	2013
Galilei Donna	2.9	fall	2013
Chihayafuru 2	4.5	winter	2013
Nekomonogatari (Black)	4.3	winter	2013
Minami-ke Tadaima	4.2	winter	2013
Problem Children Are Coming From Another World, Aren't They?	4.2	winter	2013
Hetalia: The Beautiful World	4.1	winter	2013
Haganai: I Don't Have Many Friends NEXT	4.1	winter	2013
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke	4.1	winter	2013
AKB0048: Next Stage	4	winter	2013
Maoyu: Archenemy & Hero	3.9	winter	2013
The Troubled Life of Miss Kotoura	3.9	winter	2013
Love Live! School Idol Project	3.9	winter	2013
Hakkenden: Eight Dogs of the East	3.9	winter	2013
GJ-bu	3.8	winter	2013
Tamako Market	3.8	winter	2013
Cardfight!! Vanguard: Link Joker	3.7	winter	2013
OreShura	3.7	winter	2013
Senyuu.	3.6	winter	2013
Pokemon: Black & White: Adventures in Unova	3.4	winter	2013
Cuticle Detective Inaba	3.3	winter	2013
Dokidoki! Pretty Cure	3.2	winter	2013
Encouragement of Climb	3.2	winter	2013
Da Capo III	3	winter	2013
gdgd Fairies 2	3	winter	2013
Sasami-san@Ganbaranai	2.9	winter	2013
Vividred Operation	2.9	winter	2013
Amnesia	2.7	winter	2013
Larva: House	2.7	winter	2013
Senran Kagura	2.6	winter	2013
Bakumatsu Gijinden Roman	2.4	winter	2013
Mangirl!	2.4	winter	2013
Line Offline Salaryman	2.3	winter	2013
Ishida and Asakura	2	winter	2013
Ai Mai Mii	2	winter	2013
Beast Saga	1.8	winter	2013
Straight Title Robot Anime	1.8	winter	2013
Mushishi Zoku Shou	4.6	spring	2014
Haikyuu!!	4.6	spring	2014
No Game No Life	4.5	spring	2014
Ping Pong The Animation	4.4	spring	2014
JoJo's Bizarre Adventure: Stardust Crusaders	4.4	spring	2014
Fairy Tail 2	4.4	spring	2014
Initial D Final Stage	4.4	spring	2014
Baby Steps	4.2	spring	2014
Dragon Ball Z Kai: The Final Chapters	4.2	spring	2014
The World is Still Beautiful	4.2	spring	2014
Love Live! School Idol Project 2	4.2	spring	2014
The Kawai Complex Guide to Manors and Hostel Behavior	4.2	spring	2014
The Irregular at Magic High School	4.1	spring	2014
Knights of Sidonia	4.1	spring	2014
One Week Friends	4	spring	2014
Lady Jewelpet	3.9	spring	2014
Broken Blade TV	3.9	spring	2014
Date a Live II	3.9	spring	2014
Black Bullet	3.9	spring	2014
Chaika: The Coffin Princess	3.9	spring	2014
Is the Order a Rabbit?	3.7	spring	2014
Nanana's Buried Treasure	3.7	spring	2014
Kamigami no Asobi	3.7	spring	2014
Mekaku City Actors	3.6	spring	2014
The Comic Artist and His Assistants	3.6	spring	2014
Selector Infected WIXOSS	3.6	spring	2014
Kindaichi Shounen no Jikenbo Returns	3.5	spring	2014
Brynhildr in the Darkness	3.5	spring	2014
Cardfight!! Vanguard: Legion Mate	3.5	spring	2014
Gudetama	3.4	spring	2014
Lovely Movie: Lovely Muuuuuuuco! 2	3.4	spring	2014
Yu-Gi-Oh! Arc-V	3.4	spring	2014
Riddle Story of Devil	3.3	spring	2014
Dragonar Academy	3.2	spring	2014
Captain Earth	3	spring	2014
Barakamon	4.5	summer	2014
Black Butler: Book of Circus	4.4	summer	2014
Terror in Resonance	4.3	summer	2014
Monthly Girls' Nozaki-kun	4.3	summer	2014
Space Dandy 2	4.3	summer	2014
Tokyo Ghoul	4.3	summer	2014
Blue Spring Ride	4.2	summer	2014
Free! Eternal Summer	4.2	summer	2014
Akame ga Kill!	4.2	summer	2014
Love Stage!!	4.1	summer	2014
Aldnoah.Zero	4	summer	2014
Nobunaga Concerto	3.9	summer	2014
Sword Art Online II	3.9	summer	2014
Re: Hamatora	3.8	summer	2014
Sabagebu! Survival Game Club	3.8	summer	2014
Fate/Kaleid Liner Prisma Illya 2wei!	3.7	summer	2014
Encouragement of Climb 2	3.7	summer	2014
Invaders of the Rokujyouma!?	3.7	summer	2014
Hanayamata	3.7	summer	2014
PriPara	3.7	summer	2014
Blade Dance of the Elementalers	3.5	summer	2014
Sengoku Basara: Judge End	3.4	summer	2014
Persona 4 the Golden Animation	3.3	summer	2014
Tokyo ESP	3.3	summer	2014
LocoDol	3.3	summer	2014
Magimoji Rurumo	3.3	summer	2014
Yamishibai: Japanese Ghost Stories 2nd Season	3	summer	2014
Rail Wars!	3	summer	2014
Argevollen	2.9	summer	2014
Jinsei	2.7	summer	2014
DRAMAtical Murder	2.6	summer	2014
Mobile Suit Gundam-san	2.5	summer	2014
Sin Strange+	2.5	summer	2014
Glasslip	2.3	summer	2014
Ai Mai Mii: Mousou Catastrophe	2.3	summer	2014
Mushishi Zoku Shou 2nd Season	4.6	fall	2014
Your lie in April	4.5	fall	2014
Parasyte -the maxim-	4.5	fall	2014
Fate/stay night: Unlimited Blade Works	4.4	fall	2014
The Seven Deadly Sins	4.4	fall	2014
Yona of the Dawn	4.4	fall	2014
Yowamushi Pedal: Grande Road	4.4	fall	2014
Shirobako	4.3	fall	2014
Log Horizon 2	4.3	fall	2014
Magic Kaito 1412	4.2	fall	2014
Rage of Bahamut: Genesis	4.1	fall	2014
Psycho-Pass 2	4.1	fall	2014
Amagi Brilliant Park	4.1	fall	2014
The Fruit of Grisaia	4	fall	2014
Gundam Build Fighters Try	3.9	fall	2014
Gugure! Kokkuri-san	3.9	fall	2014
Trinity Seven	3.9	fall	2014
Wolf Girl and Black Prince	3.9	fall	2014
Lord Marksman and Vanadis	3.9	fall	2014
I Can't Understand What My Husband is Saying	3.9	fall	2014
World Trigger	3.9	fall	2014
Chaika: The Coffin Princess - Avenging Battle	3.9	fall	2014
Selector Spread WIXOSS	3.9	fall	2014
Laughing Under the Clouds	3.8	fall	2014
Yuuki Yuuna is a Hero	3.7	fall	2014
When Supernatural Battles Became Commonplace	3.7	fall	2014
Garo The Animation	3.7	fall	2014
Cross Ange: Rondo of Angels and Dragons	3.7	fall	2014
Aikatsu! 3	3.6	fall	2014
Denki-Gai	3.6	fall	2014
Orenchi no Furo Jijou	3.5	fall	2014
Terra Formars	3.4	fall	2014
A Good Librarian Like a Good Shepherd	3.4	fall	2014
Cardfight!! Vanguard G	3.3	fall	2014
Ronja, the Robber's Daughter	3.3	fall	2014
Silver Spoon 2nd Season	4.4	winter	2014
Noragami	4.4	winter	2014
Seitokai Yakuindomo*	4.2	winter	2014
Nisekoi	4.1	winter	2014
Love, Chunibyo & Other Delusions! Heart Throb	4.1	winter	2014
Tonari no Seki-kun: The Master of Killing Time	4	winter	2014
Space Dandy	4	winter	2014
Hozuki's Coolheadedness	4	winter	2014
D-Frag!	4	winter	2014
Engaged to the Unidentified	4	winter	2014
Saki: The Nationals	3.8	winter	2014
Hamatora	3.8	winter	2014
Inari Kon Kon	3.8	winter	2014
Witch Craft Works	3.7	winter	2014
Buddy Complex	3.7	winter	2014
The Pilot's Love Song	3.6	winter	2014
World Conquest Zvezda Plot	3.5	winter	2014
Sakura Trick	3.4	winter	2014
Nobunagun	3.4	winter	2014
No-Rin	3.3	winter	2014
Wake Up, Girls!	3.3	winter	2014
Pupipo!	3.3	winter	2014
Happiness Charge Pretty Cure!	3.2	winter	2014
Future Card Buddyfight	3.2	winter	2014
Tesagure! Bukatsumono Encore	3.1	winter	2014
Youkai Watch	2.9	winter	2014
Nobunaga the Fool	2.9	winter	2014
Z/X: Ignition	2.9	winter	2014
Maken-ki! Two	2.8	winter	2014
Onee-chan ga Kita	2.8	winter	2014
Magical Warfare	2.7	winter	2014
Wizard Barristers: Benmashi Cecil	2.7	winter	2014
Robot Girls Z	2.7	winter	2014
Wooser no Sono Higurashi 2	2.6	winter	2014
Recently, My Sister is Unusual.	2.6	winter	2014
Gintama (2015)	4.6	spring	2015
Food Wars! Shokugeki no Souma	4.5	spring	2015
Fate/stay night: Unlimited Blade Works 2	4.4	spring	2015
Ace of the Diamond: Second Season	4.4	spring	2015
Baby Steps 2	4.4	spring	2015
My Teen Romantic Comedy SNAFU TOO!	4.4	spring	2015
My Love Story!!	4.3	spring	2015
Is It Wrong to Try to Pick Up Girls in a Dungeon?	4.3	spring	2015
The Eden of Grisaia	4.3	spring	2015
Knights of Sidonia: Battle for Planet Nine	4.2	spring	2015
Sound! Euphonium	4.2	spring	2015
The Heroic Legend of Arslan	4.2	spring	2015
Yamada-kun and the Seven Witches	4.2	spring	2015
Seraph of the End	4.1	spring	2015
High School DxD BorN	4.1	spring	2015
Plastic Memories	4.1	spring	2015
Blood Blockade Battlefront	4	spring	2015
Nisekoi:	4	spring	2015
Hello!! KINMOZA!	3.9	spring	2015
I Can’t Understand What My Husband Is Saying: 2nd Thread	3.9	spring	2015
Ghost in the Shell: Arise - Alternative Architecture	3.9	spring	2015
Joker 2	3.8	spring	2015
PriPara 2	3.8	spring	2015
Uta no Prince-sama: Maji Love Revolutions	3.7	spring	2015
Future Card Buddyfight 100	3.7	spring	2015
Saint Seiya: Soul of Gold	3.4	spring	2015
Show By Rock!!	3.4	spring	2015
Ultimate Otaku Teacher	3.4	spring	2015
RIN-NE	3.3	spring	2015
Punch Line	3.3	spring	2015
Magical Girl Lyrical Nanoha ViVid	3.2	spring	2015
Mikagura School Suite	3.2	spring	2015
Teekyuu 4	3.1	spring	2015
Tesagure! Bukatsumono: Spin-off Puru Purun Sharumu to Asobou	3.1	spring	2015
The Disappearance of Nagato Yuki-chan	3.1	spring	2015
Overlord	4.4	summer	2015
Non Non Biyori Repeat	4.3	summer	2015
Working!!!	4.3	summer	2015
Junjou Romantica 3	4.3	summer	2015
Durarara!! X2 The Second Arc	4.3	summer	2015
Snow White with the Red Hair	4.3	summer	2015
GATE	4.3	summer	2015
Charlotte	4.2	summer	2015
Lupin III: Part IV	4.2	summer	2015
Dragon Ball Super	4.1	summer	2015
To Love Ru: Darkness 2nd	4.1	summer	2015
Gangsta.	4.1	summer	2015
School-Live!	4.1	summer	2015
Ushio and Tora TV	4.1	summer	2015
Prison School	4	summer	2015
SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist	3.9	summer	2015
Rokka: Braves of the Six Flowers	3.9	summer	2015
Aoharu x Machinegun	3.9	summer	2015
God Eater	3.8	summer	2015
Himouto! Umaru-chan	3.8	summer	2015
Symphogear GX	3.8	summer	2015
Fate/kaleid Liner Prisma Illya 2wei Herz!	3.8	summer	2015
Monster Musume no Iru Nichijou	3.7	summer	2015
Gatchaman Crowds Insight	3.7	summer	2015
The iDOLM@STER: Cinderella Girls Second Series	3.7	summer	2015
Actually, I Am…	3.6	summer	2015
Castle Town Dandelion	3.6	summer	2015
Seiyuu's Life!	3.3	summer	2015
Classroom☆Crisis	3.3	summer	2015
Sky Wizards Academy	3.2	summer	2015
My Wife Is the Student Council President!	3.1	summer	2015
Wakaba*Girl	3.1	summer	2015
Teekyuu 5	3.1	summer	2015
Wakako-zake	3.1	summer	2015
Ranpo Kitan: Game of Laplace	3	summer	2015
Haikyuu!! Second Season	4.6	fall	2015
One-Punch Man	4.6	fall	2015
Noragami Aragoto	4.5	fall	2015
Owarimonogatari	4.4	fall	2015
Mobile Suit Gundam: Iron-Blooded Orphans	4.3	fall	2015
Seraph of the End: Battle in Nagoya	4.2	fall	2015
Yuru Yuri San☆Hai!	4.2	fall	2015
K: Return of Kings	4.1	fall	2015
Is the Order a Rabbit?? Season 2	4.1	fall	2015
Mr. Osomatsu	4.1	fall	2015
Pokemon XY & Z	4.1	fall	2015
Chivalry of a Failed Knight	4.1	fall	2015
Beautiful Bones: Sakurako’s Investigation	3.9	fall	2015
Kindaichi Shounen no Jikenbo Returns (2015)	3.9	fall	2015
Fafner Exodus 2nd Season	3.9	fall	2015
Utawarerumono: The False Faces	3.8	fall	2015
The Asterisk War	3.7	fall	2015
Young Black Jack	3.7	fall	2015
The Testament of Sister New Devil BURST	3.7	fall	2015
Aikatsu! 4	3.7	fall	2015
The Perfect Insider	3.7	fall	2015
Heavy Object	3.6	fall	2015
Cardfight!! Vanguard G: GIRS Crisis	3.6	fall	2015
Anti-Magic Academy: The 35th Test Platoon	3.6	fall	2015
Shomin Sample	3.4	fall	2015
Shin Atashinchi	3.3	fall	2015
Dance with Devils	3.2	fall	2015
Attack on Titan: Junior High	3.2	fall	2015
STARMYU	3.2	fall	2015
Miss Monochrome 3	3.1	fall	2015
Concrete Revolutio	2.9	fall	2015
Teekyuu 6	2.9	fall	2015
Neko Nanka Yonde mo Konai.	2.8	fall	2015
Ketsuekigata-kun! 3	2.7	fall	2015
Mini Hama	2.7	fall	2015
Kuroko's Basketball 3	4.5	winter	2015
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt	4.5	winter	2015
Kamisama Kiss 2nd Season	4.5	winter	2015
Death Parade	4.4	winter	2015
Assassination Classroom	4.4	winter	2015
Durarara!! X2	4.3	winter	2015
Tokyo Ghoul √A	4	winter	2015
Saekano: How to Raise a Boring Girlfriend	3.9	winter	2015
Aldnoah.Zero 2nd Season	3.9	winter	2015
Go! Princess Pretty Cure	3.8	winter	2015
Dog Days''	3.7	winter	2015
World Break: Aria of Curse for a Holy Swordsman	3.7	winter	2015
Maria the Virgin Witch	3.7	winter	2015
Fafner Exodus	3.6	winter	2015
The iDOLM@STER: Cinderella Girls	3.6	winter	2015
The Testament of Sister New Devil	3.5	winter	2015
Absolute Duo	3.3	winter	2015
Kantai Collection: Kan Colle	3.2	winter	2015
Yurikuma Arashi	3.1	winter	2015
Cute High Earth Defense Club LOVE!	3.1	winter	2015
Gourmet Girl Graffiti	3.1	winter	2015
The Rolling Girls	2.9	winter	2015
Yatterman Night	2.9	winter	2015
Unlimited Fafnir	2.8	winter	2015
Samurai Warriors	2.8	winter	2015
Ketsuekigata-kun! 2	2.7	winter	2015
Tantei Opera Milky Holmes TD	2.6	winter	2015
Shounen Hollywood: Holly Stage for 50	2.6	winter	2015
Isuca	2.5	winter	2015
Minna Atsumare! Falcom Gakuen SC	2.4	winter	2015
Military!	2	winter	2015
Doamayger-D	1.8	winter	2015
Onnanoko tte.	1.7	winter	2015
Washimo 3	1.6	winter	2015
Lalala Lala-chan	1.6	winter	2015
JoJo's Bizarre Adventure: Diamond is Unbreakable	4.5	spring	2016
My Hero Academia	4.5	spring	2016
Re:ZERO -Starting Life in Another World-	4.4	spring	2016
Magi: Adventure of Sinbad	4.4	spring	2016
Ushio and Tora TV (2016)	4.3	spring	2016
Tanaka-kun is Always Listless	4.2	spring	2016
Bungou Stray Dogs	4.2	spring	2016
Pretty Guardian Sailor Moon Crystal (2016)	4.1	spring	2016
Aggretsuko (2016)	4.1	spring	2016
Kabaneri of the Iron Fortress	4	spring	2016
Flying Witch	4	spring	2016
Haven't You Heard? I'm Sakamoto	4	spring	2016
Kiznaiver	3.9	spring	2016
Shounen Maid	3.9	spring	2016
Super Lovers	3.9	spring	2016
The Asterisk War (2016)	3.9	spring	2016
Aikatsu Stars!	3.9	spring	2016
Kuromukuro	3.8	spring	2016
Space Patrol Luluco	3.8	spring	2016
Honobono Log	3.8	spring	2016
Mobile Suit Gundam Unicorn RE:0096	3.8	spring	2016
RIN-NE 2	3.8	spring	2016
Twin Star Exorcists	3.8	spring	2016
Joker Game	3.7	spring	2016
PriPara 3	3.7	spring	2016
Cardfight!! Vanguard G: Stride Gate	3.6	spring	2016
High School Fleet	3.6	spring	2016
Macross Delta	3.6	spring	2016
And you thought there is never a girl online?	3.6	spring	2016
Joker 3	3.6	spring	2016
Concrete Revolutio: The Last Song	3.5	spring	2016
Three Leaves, Three Colors	3.5	spring	2016
Future Card Buddyfight Triple D	3.5	spring	2016
Anne-Happy	3.4	spring	2016
Terra Formars: Revenge	3.3	spring	2016
Mob Psycho 100	4.5	summer	2016
Food Wars! The Second Plate	4.5	summer	2016
The Disastrous Life of Saiki K.	4.5	summer	2016
Alderamin on the Sky	4.2	summer	2016
91 Days	4.2	summer	2016
D.Gray-man Hallow	4.2	summer	2016
The Heroic Legend of Arslan: Dust Storm Dance	4.2	summer	2016
Orange	4.2	summer	2016
Sweetness & Lightning	4.1	summer	2016
New Game!	4.1	summer	2016
The Morose Mononokean	4.1	summer	2016
Danganronpa 3: The End of Hope's Peak Academy- Despair Arc	4.1	summer	2016
The Seven Deadly Sins: Signs of Holy War	4.1	summer	2016
Danganronpa 3: The End of Hope's Peak Academy- Future Arc	4	summer	2016
Thunderbolt Fantasy	4	summer	2016
Tales of Zestiria: The X	4	summer	2016
Handa-kun	4	summer	2016
Fate/Kaleid Liner Prisma Illya 3rei!!	4	summer	2016
Days	3.9	summer	2016
Love Live! Sunshine!!	3.9	summer	2016
This Art Club Has a Problem!	3.8	summer	2016
Amanchu!	3.8	summer	2016
Servamp	3.6	summer	2016
Cheer Boys!!	3.5	summer	2016
Cute High Earth Defense Club LOVE! LOVE!	3.4	summer	2016
Berserk (2016)	3.4	summer	2016
Rewrite	3.2	summer	2016
The Highschool Life of a Fudanshi	3.2	summer	2016
Tsukiuta. The Animation	3.2	summer	2016
B-PROJECT	3.2	summer	2016
Hitori no Shita: The Outcast	3.1	summer	2016
Qualidea Code	3.1	summer	2016
Bananya	2.9	summer	2016
Time Travel Girl	2.9	summer	2016
Taboo-Tattoo	2.7	summer	2016
Haikyuu!! Karasuno High School vs Shiratorizawa Academy	4.7	fall	2016
Natsume's Book of Friends Season 5	4.6	fall	2016
Bungou Stray Dogs 2nd Season	4.4	fall	2016
Yuri!!! on Ice	4.4	fall	2016
Mobile Suit Gundam: Iron-Blooded Orphans 2	4.4	fall	2016
March Comes in like a Lion	4.4	fall	2016
Sound! Euphonium 2	4.3	fall	2016
Drifters	4.3	fall	2016
Ajin: Demi-Human 2nd Season	4.2	fall	2016
Poco's Udon World	4.2	fall	2016
The Great Passage	4.1	fall	2016
FLIP FLAPPERS	4	fall	2016
www.Working!!	3.9	fall	2016
Kiss Him, Not Me	3.9	fall	2016
Nanbaka	3.9	fall	2016
Magic-Kyun! Renaissance	3.9	fall	2016
Uta no Prince-sama: Maji Love Legend Star	3.8	fall	2016
Joker 4	3.7	fall	2016
All Out!!	3.7	fall	2016
Cardfight!! Vanguard G: Next	3.6	fall	2016
Magical Girl Raising Project	3.6	fall	2016
Izetta: The Last Witch	3.6	fall	2016
Keijo!!!!!!!!	3.5	fall	2016
Pokemon Sun & Moon	3.5	fall	2016
Show By Rock!!#	3.5	fall	2016
Ninja Girl & Samurai Master	3.5	fall	2016
Chi's Sweet Adventure	3.5	fall	2016
ViVid Strike!	3.4	fall	2016
Brave Witches	3.4	fall	2016
Scorching Ping Pong Girls	3.4	fall	2016
Girlish Number	3.3	fall	2016
My Wife is the Student Council President+!	3.3	fall	2016
Magic of Stella	3.3	fall	2016
Bubuki Buranki: The Gentle Giants of the Galaxy	3.3	fall	2016
To Be Hero	3.2	fall	2016
Assassination Classroom 2nd Season	4.5	winter	2016
ERASED	4.5	winter	2016
Shouwa Genroku Rakugo Shinjuu	4.5	winter	2016
Snow White with the Red Hair 2nd Season	4.4	winter	2016
GATE (2016)	4.3	winter	2016
Durarara!! X2 The Third Arc	4.3	winter	2016
KonoSuba – God's blessing on this wonderful world!	4.3	winter	2016
She and Her Cat: Everything Flows	4.2	winter	2016
Grimgar of Fantasy and Ash	4.1	winter	2016
Ajin: Demi-Human	4	winter	2016
Dimension W	3.9	winter	2016
Rainbow Days	3.8	winter	2016
Reikenzan: Hoshikuzu-tachi no Utage	3.7	winter	2016
Prince of Stride: Alternative	3.6	winter	2016
Please tell me! Galko-chan	3.6	winter	2016
Mahou Tsukai Pretty Cure!	3.5	winter	2016
This Boy is a Professional Wizard	3.5	winter	2016
Myriad Colors Phantom World	3.5	winter	2016
Undefeated Bahamut Chronicle	3.4	winter	2016
Rilu Rilu Fairilu: Yousei no Door	3.2	winter	2016
Dagashi Kashi	3.2	winter	2016
Ojisan and Marshmallow	3.2	winter	2016
AOKANA: Four Rhythm Across the Blue	3.2	winter	2016
Schwarzesmarken	3.1	winter	2016
Teekyuu 7	3	winter	2016
Norn9	2.9	winter	2016
Ooya-san wa Shishunki!	2.9	winter	2016
Girls Beyond the Wasteland	2.8	winter	2016
Phantasy Star Online 2 The Animation	2.8	winter	2016
Haruchika: Haruta & Chika	2.8	winter	2016
Yamishibai: Japanese Ghost Stories 3rd Season	2.7	winter	2016
Luck & Logic	2.7	winter	2016
Pandora in the Crimson Shell: Ghost Urn	2.7	winter	2016
Tabi Machi Late Show	2.6	winter	2016
Bubuki Buranki	2.6	winter	2016
Natsume's Book of Friends Season 6	4.6	spring	2017
My Hero Academia 2	4.6	spring	2017
Attack on Titan 2nd Season	4.5	spring	2017
Quan Zhi Gao Shou	4.3	spring	2017
The Eccentric Family 2	4.3	spring	2017
Tsukigakirei	4.2	spring	2017
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?	4.1	spring	2017
Rage of Bahamut: Virgin Soul	4.1	spring	2017
Saekano: How to Raise a Boring Girlfriend Flat	4.1	spring	2017
The Royal Tutor	4.1	spring	2017
Aikatsu Stars! Hoshi no Tsubasa	4.1	spring	2017
Re:Creators	4	spring	2017
Grimoire of Zero	3.9	spring	2017
Akashic Records of Bastard Magic Instructor	3.9	spring	2017
Sakura Quest	3.8	spring	2017
Berserk (2017)	3.8	spring	2017
Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side	3.8	spring	2017
STARMYU 2	3.8	spring	2017
Alice & Zouroku	3.8	spring	2017
RIN-NE 3	3.7	spring	2017
Beyblade: Burst God	3.7	spring	2017
Ninja Girl & Samurai Master 2nd Season	3.7	spring	2017
Armed Girl’s Machiavellism	3.7	spring	2017
Anonymous Noise	3.6	spring	2017
KADO: The Right Answer	3.6	spring	2017
Future Card Buddyfight X	3.6	spring	2017
Tsugumomo	3.5	spring	2017
Folktales from Japan 2nd Season	3.5	spring	2017
